codigo,banco,grupo
BBTGP,BTG Pactual,Banca mayorista extranjera
BCHI,Banco de Chile,Banca universal
BCI,BCI,Banca universal
BCON,Consorcio,Banca universal
BECH,BancoEstado,Banca universal
BFALA,Falabella,Banca de consumo
BICE,BICE,Banca universal
BINTE,Internacional,Banca universal
BITAUCORP,Itaú,Banca universal
BKCH,Bank of China,Banca mayorista extranjera
BRIPL,Ripley,Banca de consumo
BSANT,Santander,Banca universal
BSCOT,Scotiabank,Banca universal
BSEC,Security,Banca universal
CHCONBANK,China Construction,Banca mayorista extranjera
HSBC,HSBC,Banca mayorista extranjera
JPMGC,JP Morgan,Banca mayorista extranjera
