origen,ETS,Estacional ingenuo,Meta 3%,Promedio 12 meses,SARIMA
2011-12-01,-7.447567,-2.882751,-1.395238,-2.885065,-2.107218
2012-01-01,-5.163836,-2.572897,-1.293735,-2.575536,-1.387653
2012-02-01,-5.528057,-3.084943,-1.597638,-3.087465,-2.232695
2012-03-01,-1.814266,-2.260594,-1.395238,-2.262125,-1.425787
2012-04-01,-0.841642,-2.662505,-2.004258,-2.664256,-2.317069
2012-05-01,0.136320,-2.249523,-2.004258,-2.251611,-2.065576
2012-06-01,3.923351,-0.822631,-1.092561,-0.826225,-0.991920
2012-07-01,3.992703,-0.414281,-0.786839,-0.418047,-0.890565
2012-08-01,2.391091,-0.414281,-0.786839,-0.418047,-0.899380
2012-09-01,-0.460400,-1.024837,-1.091044,-1.029902,-1.451810
2012-10-01,-3.171683,-1.633765,-1.597550,-1.639146,-1.878695
2012-11-01,1.208828,0.105267,-0.680342,0.097339,-0.417751
2012-12-01,0.060300,1.328814,-0.066424,1.321790,-0.426561
2013-01-01,-1.118017,1.227311,-0.066424,1.220267,-0.160807
2013-02-01,-0.196282,1.942537,0.344899,1.935881,0.173354
2013-03-01,1.156004,2.151870,0.756632,2.144846,0.634048
2013-04-01,6.549623,3.907947,1.903690,3.899094,2.304338
2013-05-01,6.131260,4.222658,2.218401,4.213805,2.072578
2013-06-01,2.680916,2.788007,1.695447,2.778813,1.523740
2013-07-01,2.483212,2.377903,1.591064,2.368745,1.604988
2013-08-01,2.761269,2.482285,1.695447,2.473127,1.657983
2013-09-01,3.263840,3.099015,2.007970,3.091337,1.965878
2013-10-01,4.767594,4.549648,2.952098,4.543080,3.030099
2013-11-01,1.396401,3.210320,2.529978,3.205577,2.174523
2013-12-01,-3.356624,1.547396,1.480972,1.542114,1.161449
2014-01-01,-2.249385,1.443124,1.376700,1.437842,1.303224
2014-02-01,-2.855012,0.927944,1.272842,0.922470,0.878095
2014-03-01,-2.732565,0.309320,1.065952,0.302557,0.782277
2014-04-01,-2.827779,-0.837738,1.065952,-0.841069,0.671480
2014-05-01,-1.593314,-1.256204,0.962197,-1.258720,0.791086
2014-06-01,1.306972,-0.317816,1.377631,-0.320603,1.268605
2014-07-01,2.360519,-0.005095,1.585969,-0.008013,1.390490
2014-08-01,2.374262,0.307615,2.003062,0.304828,1.791103
2014-09-01,0.877335,-0.317418,1.690553,-0.321005,1.310459
