modelo,tipo,filas,columnas,segundos
Naive Bayes por lotes,lotes,10000,5,0.0027329000004101545
Naive Bayes por lotes,lotes,10000,10,0.0036792000173591077
Naive Bayes por lotes,lotes,10000,20,0.004075000004377216
Naive Bayes por lotes,lotes,10000,40,0.0047710000071674585
Naive Bayes por lotes,lotes,20000,5,0.0046978000027593225
Naive Bayes por lotes,lotes,20000,10,0.0057477999944239855
Naive Bayes por lotes,lotes,20000,20,0.00961120001738891
Naive Bayes por lotes,lotes,20000,40,0.010113100026501343
Naive Bayes por lotes,lotes,40000,5,0.007851599977584556
Naive Bayes por lotes,lotes,40000,10,0.012355199985904619
Naive Bayes por lotes,lotes,40000,20,0.018489400012185797
Naive Bayes por lotes,lotes,40000,40,0.025836900022113696
Naive Bayes por lotes,lotes,80000,5,0.01665180001873523
Naive Bayes por lotes,lotes,80000,10,0.026891899993643165
Naive Bayes por lotes,lotes,80000,20,0.034421299991663545
Naive Bayes por lotes,lotes,80000,40,0.06597170000895858
Naive Bayes por lotes,lotes,160000,5,0.03249349998077378
Naive Bayes por lotes,lotes,160000,10,0.04792249997262843
Naive Bayes por lotes,lotes,160000,20,0.08400599999004044
Naive Bayes por lotes,lotes,160000,40,0.12415020001935773
Bagging de Naive Bayes por lotes,lotes,10000,5,0.05111380000016652
Bagging de Naive Bayes por lotes,lotes,10000,10,0.06149389999336563
Bagging de Naive Bayes por lotes,lotes,10000,20,0.06254279997665435
Bagging de Naive Bayes por lotes,lotes,10000,40,0.0850466999982018
Bagging de Naive Bayes por lotes,lotes,20000,5,0.07576060001156293
Bagging de Naive Bayes por lotes,lotes,20000,10,0.09468030001153238
Bagging de Naive Bayes por lotes,lotes,20000,20,0.11093299998901784
Bagging de Naive Bayes por lotes,lotes,20000,40,0.14876780001213774
Bagging de Naive Bayes por lotes,lotes,40000,5,0.12484490001224913
Bagging de Naive Bayes por lotes,lotes,40000,10,0.1492298000084702
Bagging de Naive Bayes por lotes,lotes,40000,20,0.2055404999991879
Bagging de Naive Bayes por lotes,lotes,40000,40,0.3963048000005074
Bagging de Naive Bayes por lotes,lotes,80000,5,0.24712429998908192
Bagging de Naive Bayes por lotes,lotes,80000,10,0.28719299999647774
Bagging de Naive Bayes por lotes,lotes,80000,20,0.4389204999897629
Bagging de Naive Bayes por lotes,lotes,80000,40,0.9184445000137202
Bagging de Naive Bayes por lotes,lotes,160000,5,0.44444880000082776
Bagging de Naive Bayes por lotes,lotes,160000,10,0.5927121000131592
