fecha,libra_cobre
2012-10-05,3.76
2012-10-08,3.76
2012-10-09,3.71
2012-10-10,3.69
2012-10-11,3.7
2012-10-12,3.74
2012-10-16,3.69
2012-10-17,3.68
2012-10-18,3.73
2012-10-19,3.73
2012-10-22,3.63
2012-10-23,3.6
2012-10-24,3.55
2012-10-25,3.54
2012-10-26,3.54
2012-10-29,3.55
2012-10-30,3.49
2012-10-31,3.49
2012-11-05,3.52
2012-11-06,3.47
2012-11-07,3.49
2012-11-08,3.45
2012-11-09,3.46
2012-11-12,3.43
2012-11-13,3.46
2012-11-14,3.48
2012-11-15,3.46
2012-11-16,3.46
2012-11-19,3.45
2012-11-20,3.53
2012-11-21,3.52
2012-11-22,3.48
2012-11-23,3.49
2012-11-26,3.52
2012-11-27,3.52
2012-11-28,3.53
2012-11-29,3.51
2012-11-30,3.58
2012-12-03,3.62
2012-12-04,3.62
2012-12-05,3.63
2012-12-06,3.65
2012-12-07,3.62
2012-12-10,3.63
2012-12-11,3.68
2012-12-12,3.66
2012-12-13,3.68
2012-12-14,3.65
2012-12-17,3.65
2012-12-18,3.65
2012-12-19,3.63
2012-12-20,3.58
2012-12-21,3.51
2012-12-24,3.51
2012-12-26,3.54
2012-12-27,3.53
2012-12-28,3.53
2013-01-02,3.58
2013-01-03,3.59
2013-01-04,3.71
2013-01-07,3.69
2013-01-08,3.65
2013-01-09,3.65
2013-01-10,3.65
2013-01-11,3.65
2013-01-14,3.67
2013-01-15,3.64
2013-01-16,3.61
2013-01-17,3.61
2013-01-18,3.59
2013-01-21,3.64
2013-01-22,3.64
2013-01-23,3.64
2013-01-24,3.68
2013-01-25,3.66
2013-01-28,3.66
2013-01-29,3.63
2013-01-30,3.64
2013-01-31,3.66
2013-02-01,3.72
2013-02-04,3.69
2013-02-05,3.74
2013-02-06,3.75
2013-02-07,3.73
2013-02-08,3.72
2013-02-11,3.7
2013-02-12,3.75
2013-02-13,3.7
2013-02-14,3.72
2013-02-15,3.72
