id,fecha_utc,latitud,longitud,profundidad_km,magnitud,tipo_magnitud,lugar
us6000m0wa,2024-01-01 01:05:25.000,-25.3436,-70.5175,35.0,4.3,mb,"7 km NNW of Taltal, Chile"
us6000m0wg,2024-01-01 02:13:25.098,-21.2187,-68.6888,117.22,4.4,mb,"45 km W of Ollagüe, Chile"
us6000m0y0,2024-01-01 08:30:25.784,-24.2794,-67.3309,208.301,4.2,mb,"103 km W of San Antonio de los Cobres, Argentina"
us6000m13v,2024-01-02 09:09:36.008,-27.6184,-69.3397,113.199,4.3,mb,"101 km ESE of Copiapó, Chile"
us6000m16b,2024-01-02 14:33:33.263,-24.0309,-66.7435,188.353,4.6,mb,"47 km WNW of San Antonio de los Cobres, Argentina"
us6000m1ae,2024-01-02 22:57:00.970,-23.3669,-66.6178,188.635,5.0,mww,"97 km W of El Aguilar, Argentina"
us6000m1bp,2024-01-03 03:14:56.155,-18.9782,-69.4112,122.106,4.5,mb,"37 km N of Camiña, Chile"
us6000m1cg,2024-01-03 08:04:04.468,-28.4508,-68.8167,117.0,5.5,mww,"68 km WNW of Vinchina, Argentina"
us6000m1cl,2024-01-03 08:27:06.125,-21.4626,-68.8772,114.237,4.5,mb,"69 km WSW of Ollagüe, Chile"
us6000m1lm,2024-01-04 06:05:20.849,-21.2223,-68.877,128.885,4.3,mb,"64 km W of Ollagüe, Chile"
us6000m1vp,2024-01-04 23:39:56.245,-24.2518,-66.985,173.515,4.1,mb,"67 km W of San Antonio de los Cobres, Argentina"
us6000m1wx,2024-01-05 03:54:07.278,-36.8638,-73.6087,23.237,4.5,mb,"45 km WNW of Coronel, Chile"
us6000m1xt,2024-01-05 07:00:30.653,-22.7149,-66.0504,272.915,4.1,mb,"36 km W of Abra Pampa, Argentina"
us6000m2bd,2024-01-07 07:19:54.181,-24.3126,-67.0955,171.174,4.6,mb,"79 km W of San Antonio de los Cobres, Argentina"
us6000m2bf,2024-01-07 08:35:32.422,-18.2465,-69.1267,142.52,5.3,mww,"84 km WSW of Curahuara de Carangas, Bolivia"
